1271,1694,1130,880,1072,1271,1694,1130,880,1072,1271,1694,1130,880,1072
1187,969,1337,894,539,1646,969,1337,894,539,1646,969,1337,894,539
1494,1588,1688,813,783,1494,2246,2101,813,1547,1494,1588,1780,813,1369
1717,1358,1983,1568,915,1772,2244,2052,1568,915,1717,1992,2052,1568,915
2503,2093,1706,1447,1729,2558,2415,1706,2146,2355,2861,2415,2114,1468,2105
1566,1527,1240,1253,1714,1759,1527,1312,2035,2383,1759,1527,1260,2418,2396
2295,1593,1349,1404,1587,2682,2275,1610,1414,1766,2682,2275,2086,2155,2110
988,2144,1710,1279,1331,988,2877,2945,2020,1978,988,2917,2847,1752,3212
1579,1501,1985,1681,2228,2330,2474,2221,2159,2438,2774,3218,3026,2529,2438
1624,1206,1409,1717,1534,1632,2353,2512,2418,2299,2381,3169,2190,2522,2576
2161,1420,1412,1642,1250,3503,2440,1808,2251,2774,3548,1840,1902,2906,1665
2066,1616,1566,1317,1344,2511,2211,1735,1959,1703,3435,2644,2820,1717,2186
1556,1706,1294,1918,1533,2267,2457,1553,3140,2395,3117,2446,1854,3072,3179
1617,1630,1963,1626,1749,2188,3149,2761,3057,2468,1874,2396,3953,3336,3298
